,Date,Host,Result,Guest,Status,Season
158,08.02.2020,Fiorentina,1 : 2,Atalanta,Завершен,italy-serie-a-2019-2020
159,07.02.2020,Roma,2 : 3,Bologna,Завершен,italy-serie-a-2019-2020
160,03.02.2020,Sampdoria,2 : 4,Napoli,Завершен,italy-serie-a-2019-2020
161,02.02.2020,Udinese,0 : 2,Inter,Завершен,italy-serie-a-2019-2020
162,02.02.2020,Lecce,4 : 0,Torino,Завершен,italy-serie-a-2019-2020
163,02.02.2020,Atalanta,2 : 2,Genoa,Завершен,italy-serie-a-2019-2020
164,02.02.2020,Milan,1 : 1,Hellas Verona,Завершен,italy-serie-a-2019-2020
165,02.02.2020,Lazio,5 : 1,SPAL,Завершен,italy-serie-a-2019-2020
166,02.02.2020,Juventus,3 : 0,Fiorentina,Завершен,italy-serie-a-2019-2020
167,01.02.2020,Sassuolo,4 : 2,Roma,Завершен,italy-serie-a-2019-2020
168,01.02.2020,Cagliari,2 : 2,Parma,Завершен,italy-serie-a-2019-2020
169,01.02.2020,Bologna,2 : 1,Brescia,Завершен,italy-serie-a-2019-2020
170,26.01.2020,Napoli,2 : 1,Juventus,Завершен,italy-serie-a-2019-2020
171,26.01.2020,Roma,1 : 1,Lazio,Завершен,italy-serie-a-2019-2020
172,26.01.2020,Hellas Verona,3 : 0,Lecce,Завершен,italy-serie-a-2019-2020
173,26.01.2020,Sampdoria,0 : 0,Sassuolo,Завершен,italy-serie-a-2019-2020
174,26.01.2020,Parma,2 : 0,Udinese,Завершен,italy-serie-a-2019-2020
175,26.01.2020,Inter,1 : 1,Cagliari,Завершен,italy-serie-a-2019-2020
176,25.01.2020,Torino,0 : 7,Atalanta,Завершен,italy-serie-a-2019-2020
177,25.01.2020,Fiorentina,0 : 0,Genoa,Завершен,italy-serie-a-2019-2020
178,25.01.2020,SPAL,1 : 3,Bologna,Завершен,italy-serie-a-2019-2020
179,24.01.2020,Brescia,0 : 1,Milan,Завершен,italy-serie-a-2019-2020
180,20.01.2020,Atalanta,1 : 2,SPAL,Завершен,italy-serie-a-2019-2020
181,19.01.2020,Juventus,2 : 1,Parma,Завершен,italy-serie-a-2019-2020
182,19.01.2020,Genoa,1 : 3,Roma,Завершен,italy-serie-a-2019-2020
183,19.01.2020,Brescia,2 : 2,Cagliari,Завершен,italy-serie-a-2019-2020
184,19.01.2020,Bologna,1 : 1,Hellas Verona,Завершен,italy-serie-a-2019-2020
185,19.01.2020,Lecce,1 : 1,Inter,Завершен,italy-serie-a-2019-2020
186,19.01.2020,Milan,3 : 2,Udinese,Завершен,italy-serie-a-2019-2020
187,18.01.2020,Napoli,0 : 2,Fiorentina,Завершен,italy-serie-a-2019-2020
188,18.01.2020,Sassuolo,2 : 1,Torino,Завершен,italy-serie-a-2019-2020
189,18.01.2020,Lazio,5 : 1,Sampdoria,Завершен,italy-serie-a-2019-2020
190,13.01.2020,Parma,2 : 0,Lecce,Завершен,italy-serie-a-2019-2020
191,12.01.2020,Roma,1 : 2,Juventus,Завершен,italy-serie-a-2019-2020
192,12.01.2020,Hellas Verona,2 : 1,Genoa,Завершен,italy-serie-a-2019-2020
193,12.01.2020,Fiorentina,1 : 0,SPAL,Завершен,italy-serie-a-2019-2020
194,12.01.2020,Sampdoria,5 : 1,Brescia,Завершен,italy-serie-a-2019-2020
195,12.01.2020,Torino,1 : 0,Bologna,Завершен,italy-serie-a-2019-2020
196,12.01.2020,Udinese,3 : 0,Sassuolo,Завершен,italy-serie-a-2019-2020
197,11.01.2020,Inter,1 : 1,Atalanta,Завершен,italy-serie-a-2019-2020
198,11.01.2020,Lazio,1 : 0,Napoli,Завершен,italy-serie-a-2019-2020
199,11.01.2020,Cagliari,0 : 2,Milan,Завершен,italy-serie-a-2019-2020
200,06.01.2020,Napoli,1 : 3,Inter,Завершен,italy-serie-a-2019-2020
201,06.01.2020,Lecce,0 : 1,Udinese,Завершен,italy-serie-a-2019-2020
202,06.01.2020,Atalanta,5 : 0,Parma,Завершен,italy-serie-a-2019-2020
203,06.01.2020,Juventus,4 : 0,Cagliari,Завершен,italy-serie-a-2019-2020
204,06.01.2020,Milan,0 : 0,Sampdoria,Завершен,italy-serie-a-2019-2020
205,06.01.2020,Bologna,1 : 1,Fiorentina,Завершен,italy-serie-a-2019-2020
206,05.01.2020,Roma,0 : 2,Torino,Завершен,italy-serie-a-2019-2020
207,05.01.2020,Genoa,2 : 1,Sassuolo,Завершен,italy-serie-a-2019-2020
208,05.01.2020,SPAL,0 : 2,Hellas Verona,Завершен,italy-serie-a-2019-2020
209,05.01.2020,Brescia,1 : 2,Lazio,Завершен,italy-serie-a-2019-2020
