,Unnamed: 0,Date,Host,Result,Guest,Status,Season,Host: Average shots stvor,Guest: Average shots stvor,Host: Average corner situation,Guest: Average corner situation,Host: SCR,Guest: SCR,Host: Ball control,Guest: Ball control
50,50,16.07.2020,SPAL,0 : 4,Inter,Завершен,italy-serie-a-2019-2020,3.34,6.18,4.16,6.18,0.07179487179487179,0.17170891251022077,46.55,54.21
51,51,16.07.2020,Torino,3 : 0,Genoa,Завершен,italy-serie-a-2019-2020,3.89,4.13,4.74,4.37,0.13303769401330376,0.13921113689095127,47.45,49.37
52,52,15.07.2020,Lecce,1 : 3,Fiorentina,Завершен,italy-serie-a-2019-2020,4.58,5.08,4.79,5.5,0.13888888888888887,0.12404580152671756,44.58,47.53
53,53,15.07.2020,Roma,2 : 1,Hellas Verona,Завершен,italy-serie-a-2019-2020,5.71,4.45,7.03,5.45,0.14992503748125938,0.14134275618374556,53.03,49.68
54,54,15.07.2020,Sassuolo,3 : 3,Juventus,Завершен,italy-serie-a-2019-2020,5.29,6.26,5.45,6.18,0.16869728209934395,0.14695077149155034,57.71,58.16
55,55,15.07.2020,Udinese,0 : 0,Lazio,Завершен,italy-serie-a-2019-2020,3.92,5.95,5.26,5.74,0.10559662090813093,0.18229166666666669,44.66,50.45
56,56,15.07.2020,Sampdoria,3 : 0,Cagliari,Завершен,italy-serie-a-2019-2020,4.66,4.05,5.13,4.05,0.11423550087873462,0.15283842794759825,42.53,45.37
57,57,15.07.2020,Bologna,1 : 1,Napoli,Завершен,italy-serie-a-2019-2020,4.53,6.21,6.0,5.84,0.1269265639165911,0.11976047904191618,52.87,59.32
58,58,15.07.2020,Milan,3 : 1,Parma,Завершен,italy-serie-a-2019-2020,5.21,4.11,5.47,4.39,0.13385826771653545,0.15739769150052466,55.24,43.63
59,59,14.07.2020,Atalanta,6 : 2,Brescia,Завершен,italy-serie-a-2019-2020,7.34,3.68,6.53,4.21,0.1882693700217234,0.11138613861386139,57.63,40.05
60,60,13.07.2020,Inter,3 : 1,Torino,Завершен,italy-serie-a-2019-2020,6.18,3.89,6.18,4.74,0.17170891251022077,0.13303769401330376,54.21,47.45
61,61,12.07.2020,Napoli,2 : 2,Milan,Завершен,italy-serie-a-2019-2020,6.21,5.21,5.84,5.47,0.11976047904191618,0.13385826771653545,59.32,55.24
62,62,12.07.2020,Parma,2 : 2,Bologna,Завершен,italy-serie-a-2019-2020,4.11,4.53,4.39,6.0,0.15739769150052466,0.1269265639165911,43.63,52.87
63,63,12.07.2020,Fiorentina,1 : 1,Hellas Verona,Завершен,italy-serie-a-2019-2020,5.08,4.45,5.5,5.45,0.12404580152671756,0.14134275618374556,47.53,49.68
64,64,12.07.2020,Cagliari,0 : 0,Lecce,Завершен,italy-serie-a-2019-2020,4.05,4.58,4.05,4.79,0.15283842794759825,0.13888888888888887,45.37,44.58
65,65,12.07.2020,Udinese,1 : 3,Sampdoria,Завершен,italy-serie-a-2019-2020,3.92,4.66,5.26,5.13,0.10559662090813093,0.11423550087873462,44.66,42.53
66,66,12.07.2020,Genoa,2 : 0,SPAL,Завершен,italy-serie-a-2019-2020,4.13,3.34,4.37,4.16,0.13921113689095127,0.07179487179487179,49.37,46.55
